Gene,Locus Tag,Protein
,STM14_2680,conserved hypothetical protein
yohI,STM14_2681,tRNA-dihydrouridine synthase C
,STM14_2682,salicylate hydroxylase
,STM14_2683,putative glutathione S-transferase
,STM14_2684,putative flutathione S-transferase
,STM14_2685,"putative 1,2-dioxygenase"
,STM14_2686,putative sugar transporter
,STM14_2687,putative transcriptional regulator
yohJ,STM14_2688,hypothetical protein
yohK,STM14_2689,hypothetical protein
cdd,STM14_2690,cytidine deaminase
sanA,STM14_2691,hypothetical protein
,STM14_2692,putative inner membrane protein
,STM14_2693,putative oxidoreductase
yeiA,STM14_2694,dihydropyrimidine dehydrogenase
mglC,STM14_2695,beta-methylgalactoside transporter inner membrane component
mglA,STM14_2696,galactose/methyl galaxtoside transporter ATP-binding protein
,STM14_2697,hypothetical protein
mglB,STM14_2698,galactose transport protein
,STM14_2699,hypothetical protein
galS,STM14_2700,DNA-binding transcriptional regulator GalS
,STM14_2701,hypothetical protein
yeiB,STM14_2702,hypothetical protein
folE,STM14_2703,GTP cyclohydrolase I
,STM14_2704,hypothetical protein
,STM14_2705,hypothetical protein
,STM14_2706,hypothetical protein
fghA,STM14_2707,S-formylglutathione hydrolase
,STM14_2708,putative transcriptional regulator
,STM14_2709,putative L-serine dehydratase
,STM14_2710,hypothetical protein
,STM14_2711,putative phosphoserine phosphatase
,STM14_2712,putative regulatory protein
cirA,STM14_2713,colicin I receptor
,STM14_2714,hypothetical protein
lysP,STM14_2715,lysine transporter
,STM14_2716,hypothetical protein
yeiE,STM14_2717,putative DNA-binding transcriptional regulator
,STM14_2718,conserved hypothetical protein
yeiH,STM14_2719,putative inner membrane protein
nfo,STM14_2720,endonuclease IV
fruA,STM14_2721,fructose-specific PTS system IIBC component
fruK,STM14_2722,1-phosphofructokinase
fruF,STM14_2723,bifunctional fructose-specific PTS IIA/HPr protein
,STM14_2724,hypothetical protein
,STM14_2725,hypothetical protein
,STM14_2726,hypothetical protein
setB,STM14_2727,proton efflux pump
,STM14_2728,putative inner membrane protein
,STM14_2729,putative inner membrane protein
,STM14_2730,hypothetical protein
,STM14_2731,hypothetical protein
,STM14_2732,
yeiP,STM14_2733,elongation factor P
yeiR,STM14_2734,putative cobalamin biosynthetic protein
yeiU,STM14_2735,putative permease
,STM14_2736,hypothetical protein
spr,STM14_2737,putative outer membrane lipoprotein
,STM14_2738,hypothetical protein
rtn,STM14_2739,hypothetical protein
yejA,STM14_2740,putative ABC transporter periplasmic binding protein
yejB,STM14_2741,putative ABC-type dipeptide/oligopeptide/nickel transport system permease
yejE,STM14_2742,putative ABC-type dipeptide/oligopeptide/nickel transport system permease component
yejF,STM14_2743,putative ABC-type transport system ATPase component
yejG,STM14_2744,hypothetical protein
,STM14_2745,bicyclomycin/multidrug efflux system
bcr,STM14_2746,bicyclomycin/multidrug efflux system
rsuA,STM14_2747,16S rRNA pseudouridylate synthase A
yejH,STM14_2748,putative ATP-dependent helicase
rplY,STM14_2749,50S ribosomal protein L25
,STM14_2750,hypothetical protein
,STM14_2751,putative inner membrane protein
yejK,STM14_2752,nucleoid-associated protein NdpA
yejL,STM14_2753,hypothetical protein
yejM,STM14_2754,putative hydrolase
,STM14_2756,DNA polymerase V subunit
,STM14_2757,virulence protein
oafA,STM14_2758,O-antigen acetylase
,STM14_2759,putative cytoplasmic protein
,STM14_2760,putative phage tail fiber assembly protein
,STM14_2761,hypothetical protein
,STM14_2762,hypothetical protein
,STM14_2763,putative inner membrane protein
,STM14_2764,hypothetical protein
,STM14_2765,hypothetical protein
,STM14_2766,putative phage antiterminator
,STM14_2767,putative cytoplasmic protein
,STM14_2768,KilA-N domain protein
sspH2,STM14_2769,leucine-rich repeat-containing protein
,STM14_2770,putative phage tail fiber protein
,STM14_2771,putative tail fiber protein of phage
,STM14_2772,virulence protein
,STM14_2773,putative outer membrane protein
,STM14_2774,hypothetical protein
narP,STM14_2775,transcriptional regulator NarP
ccmH_1,STM14_2776,putative heme lyase subunit
ccmG_1,STM14_2777,heme lyase/disulfide oxidoreductase
ccmF_1,STM14_2778,cytochrome c-type biogenesis protein
ccmE_1,STM14_2779,cytochrome c-type biogenesis protein CcmE
ccmD_1,STM14_2780,heme exporter protein C
ccmC_1,STM14_2781,heme exporter protein
ccmB_1,STM14_2782,heme exporter protein
ccmA_1,STM14_2783,cytochrome c biogenesis protein CcmA
napC,STM14_2784,cytochrome c-type protein NapC
napB,STM14_2785,diheme cytochrome c550
napH,STM14_2786,quinol dehydrogenase membrane component
napG,STM14_2787,quinol dehydrogenase periplasmic component
napA,STM14_2788,nitrate reductase
napD,STM14_2789,assembly protein for periplasmic nitrate reductase
napF,STM14_2790,ferredoxin-type protein
,STM14_2791,conserved hypothetical protein
eco,STM14_2792,ecotin precursor
yojI,STM14_2793,multidrug transporter membrane component/ATP-binding component
alkB,STM14_2794,DNA repair system protein
ada,STM14_2795,O6-methylguanine-DNA methyltransferase/transcription activator/repressor
apbE,STM14_2796,thiamine biosynthesis lipoprotein ApbE
ompC,STM14_2797,outer membrane porin protein C
,STM14_2798,hypothetical protein
yojN,STM14_2800,phosphotransfer intermediate protein in two-component regulatory system with RcsBC
rcsB,STM14_2801,transcriptional regulator RcsB
rcsC,STM14_2802,hybrid sensory kinase in two-component regulatory system with RcsB and YojN
,STM14_2803,hypothetical protein
gyrA,STM14_2804,DNA gyrase subunit A
,STM14_2805,hypothetical protein
,STM14_2806,hypothetical protein
,STM14_2807,putative dehydratase
,STM14_2808,putative permease
,STM14_2809,putative regulatory protein
ubiG,STM14_2810,3-demethylubiquinone-9 3-methyltransferase
,STM14_2811,hypothetical protein
nrdA,STM14_2812,ribonucleotide-diphosphate reductase subunit alpha
nrdB,STM14_2813,ribonucleotide-diphosphate reductase subunit beta
yfaE,STM14_2814,2Fe-2S ferredoxin YfaE
,STM14_2815,putative permease
,STM14_2816,putative transcriptional regulator
glpQ,STM14_2817,glycerophosphodiester phosphodiesterase
glpT,STM14_2818,sn-glycerol-3-phosphate transporter
glpA,STM14_2819,sn-glycerol-3-phosphate dehydrogenase subunit A
glpB,STM14_2820,anaerobic glycerol-3-phosphate dehydrogenase subunit B
glpC,STM14_2821,sn-glycerol-3-phosphate dehydrogenase subunit C
,STM14_2822,hypothetical protein
,STM14_2823,hypothetical protein
sseL,STM14_2824,deubiquitinase
,STM14_2825,putative cytoplasmic protein
,STM14_2826,putative aldolase
yfaV,STM14_2827,putative transport protein
yfaW,STM14_2828,putative galactonate dehydratase
yfaX,STM14_2829,putative transcriptional regulator
,STM14_2830,competence damage-inducible protein A
yfaZ,STM14_2831,putative inner membrane protein
yfaO,STM14_2832,putative NTP pyrophosphohydrolase
ais,STM14_2833,aluminum-inducible protein
,STM14_2834,hypothetical protein
yfbE,STM14_2835,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
pmrF,STM14_2836,undecaprenyl phosphate 4-deoxy-4-formamido-L-arabinose transferase
yfbG,STM14_2837,bifunctional UDP-glucuronic acid decarboxylase/UDP-4-amino-4-deoxy-L-arabinose formyltransferase
,STM14_2838,putative cytoplasmic protein
arnT,STM14_2839,4-amino-4-deoxy-L-arabinose transferase
,STM14_2840,putative inner membrane protein
,STM14_2841,hypothetical protein
pmrD,STM14_2842,polymyxin resistance protein B
menE,STM14_2843,O-succinylbenzoic acid--CoA ligase
menC,STM14_2844,O-succinylbenzoate synthase
menB,STM14_2845,naphthoate synthase
yfbB,STM14_2846,acyl-CoA thioester hydrolase YfbB
menD,STM14_2847,"2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase"
menF,STM14_2848,menaquinone-specific isochorismate synthase
elaB,STM14_2849,hypothetical protein
elaA,STM14_2850,hypothetical protein
elaC,STM14_2851,
,STM14_2852,putative chemotaxis signal transduction protein
yfbK,STM14_2853,hypothetical protein
,STM14_2854,hypothetical protein
,STM14_2855,hypothetical protein
,STM14_2856,hypothetical protein
nuoN,STM14_2857,NADH dehydrogenase subunit N
nuoM,STM14_2858,NADH dehydrogenase subunit M
nuoL,STM14_2859,NADH dehydrogenase subunit L
nuoK,STM14_2860,NADH dehydrogenase subunit K
nuoJ,STM14_2861,NADH dehydrogenase subunit J
nuoI,STM14_2862,NADH dehydrogenase subunit I
nuoH,STM14_2863,NADH dehydrogenase subunit H
nuoG,STM14_2864,NADH dehydrogenase subunit G
nuoF,STM14_2865,NADH dehydrogenase I subunit F
nuoE,STM14_2866,NADH dehydrogenase subunit E
nuoC,STM14_2867,bifunctional NADH:ubiquinone oxidoreductase subunit C/D
nuoB,STM14_2868,NADH dehydrogenase subunit B
nuoA,STM14_2869,NADH dehydrogenase subunit A
,STM14_2870,hypothetical protein
,STM14_2871,hypothetical protein
,STM14_2872,putative cytoplasmic protein
lrhA,STM14_2873,NADH dehydrogenase transcriptional repressor
yfbQ,STM14_2874,aminotransferase AlaT
,STM14_2875,hypothetical protein
yfbS,STM14_2876,putative response regulator
yfbT,STM14_2877,putative phosphatase
yfbU,STM14_2878,hypothetical protein
,STM14_2879,hypothetical protein
,STM14_2880,hypothetical protein
,STM14_2881,hypothetical protein
ackA,STM14_2882,acetate kinase
pta,STM14_2883,phosphate acetyltransferase
yfcC,STM14_2884,hypothetical protein
,STM14_2885,putative transketolase
,STM14_2886,putative transketolase
ulaA_2,STM14_2887,ascorbate-specific PTS system enzyme IIC
,STM14_2888,putative cytoplasmic protein
,STM14_2889,putative phosphotransferase system enzyme II A component
,STM14_2890,hypothetical protein
,STM14_2891,putative transcriptional regulator
,STM14_2892,putative NTP pyrophosphohydrolase
yfcE,STM14_2893,phosphodiesterase
yfcF,STM14_2894,putative glutathione S-transferase
yfcG,STM14_2895,putative glutathione S-transferase
yfcH,STM14_2896,putative sugar nucleotide epimerase
hisP,STM14_2897,histidine/lysine/arginine/ornithine transporter subunit
hisM,STM14_2898,histidine/lysine/arginine/ornithine transport protein
hisQ,STM14_2899,histidine/lysine/arginine/ornithine transport protein
hisJ,STM14_2900,histidine transport protein
argT,STM14_2901,lysine/arginine/ornithine transport protein
,STM14_2902,conserved hypothetical protein
ubiX,STM14_2903,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
,STM14_2904,putative amino acid transporter
,STM14_2905,putative cytoplasmic protein
,STM14_2906,putative amino acid transporter
,STM14_2907,putative diaminopimelate decarboxylase
,STM14_2908,putative regulatory protein
purF,STM14_2909,amidophosphoribosyltransferase
cvpA,STM14_2910,colicin V production protein
,STM14_2911,hypothetical protein
dedD,STM14_2912,hypothetical protein
folC,STM14_2913,bifunctional folylpolyglutamate synthase/ dihydrofolate synthase
accD,STM14_2914,acetyl-CoA carboxylase subunit beta
dedA,STM14_2915,hypothetical protein
truA,STM14_2916,tRNA pseudouridine synthase A
usg,STM14_2917,putative semialdehyde dehydrogenase
pdxB,STM14_2918,erythronate-4-phosphate dehydrogenase
flk,STM14_2919,flagella biosynthesis regulator
,STM14_2920,hypothetical protein
,STM14_2921,hypothetical protein
,STM14_2922,putative cytoplasmic protein
,STM14_2923,putative regulatory protein
,STM14_2924,putative cytoplasmic protein
,STM14_2925,putative periplasmic protein
,STM14_2926,putative inner membrane protein
fabB,STM14_2927,3-oxoacyl-(acyl carrier protein) synthase I
mnmC,STM14_2928,5-methylaminomethyl-2-thiouridine methyltransferase
yfcL,STM14_2929,putative cytoplasmic protein
yfcM,STM14_2930,putative cytoplasmic protein
yfcA,STM14_2931,hypothetical protein
mepA,STM14_2932,penicillin-insensitive murein endopeptidase
aroC,STM14_2933,chorismate synthase
yfcB,STM14_2934,N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase
yfcN,STM14_2935,hypothetical protein
sixA,STM14_2936,phosphohistidine phosphatase
fadJ,STM14_2937,multifunctional fatty acid oxidation complex subunit alpha
fadI,STM14_2938,3-ketoacyl-CoA thiolase
yfcZ,STM14_2939,putative cytoplasmic protein
,STM14_2940,hypothetical protein
,STM14_2941,hypothetical protein
fadL,STM14_2942,long-chain fatty acid outer membrane transporter
,STM14_2943,hypothetical protein
yfdC,STM14_2944,hypothetical protein
pgtE,STM14_2946,outer membrane protease
pgtA,STM14_2947,activator
pgtB,STM14_2948,phosphoglycerate transport system sensor protein
pgtC,STM14_2949,phosphoglycerate transport regulatory protein precursor
pgtP,STM14_2950,transporter
,STM14_2951,putative inner membrane protein
,STM14_2952,hypothetical protein
ddg,STM14_2953,lipid A biosynthesis palmitoleoyl acyltransferase
yfdZ,STM14_2954,aminotransferase
,STM14_2955,hypothetical protein
glk,STM14_2956,glucokinase
,STM14_2957,hypothetical protein
,STM14_2958,indolepyruvate decarboxylase
,STM14_2959,hypothetical protein
,STM14_2960,putative oxidoreductase
ypeC,STM14_2961,putative periplasmic protein
mntH,STM14_2962,manganese transport protein MntH
nupC,STM14_2963,nucleoside transport
yfeA,STM14_2964,hypothetical protein
yfeC,STM14_2967,putative negative regulator
yfeD,STM14_2968,putative negative regulator
gltX,STM14_2969,glutamyl-tRNA synthetase
xapR,STM14_2974,DNA-binding transcriptional activator XapR
,STM14_2975,hypothetical protein
xapB,STM14_2976,xanthosine permease
,STM14_2977,xanthosine phosphorylase
yfeN,STM14_2978,hypothetical protein
yfeR,STM14_2979,putative transcriptional regulator
yfeH,STM14_2980,putative Na+-dependent transporter
,STM14_2981,putative cytoplasmic protein
ligA,STM14_2982,NAD-dependent DNA ligase LigA
zipA,STM14_2983,cell division protein ZipA
cysZ,STM14_2984,putative sulfate transport protein CysZ
cysK,STM14_2985,cysteine synthase A
,STM14_2986,hypothetical protein
,STM14_2987,hypothetical protein
,STM14_2988,hypothetical protein
ptsH,STM14_2989,phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)
ptsI,STM14_2990,phosphoenolpyruvate-protein phosphotransferase
crr,STM14_2991,glucose-specific PTS system component
,STM14_2992,putative cytoplasmic protein
pdxK,STM14_2993,pyridoxal kinase
ptsJ,STM14_2994,putative regulatory protein
yfeJ,STM14_2995,glutamine amidotransferase
yfeK,STM14_2996,hypothetical protein
yfeL,STM14_2997,putative membrane carboxypeptidase
cysM,STM14_2998,cysteine synthase B
cysA,STM14_2999,sulfate/thiosulfate transporter subunit
cysW,STM14_3000,sulfate/thiosulfate transporter permease subunit
cysU,STM14_3001,sulfate/thiosulfate transporter subunit
cysP,STM14_3002,thiosulfate transporter subunit
ucpA,STM14_3003,short chain dehydrogenase
,STM14_3004,putative iron-dependent peroxidase
,STM14_3005,hypothetical protein
yfeZ,STM14_3006,putative inner membrane protein
,STM14_3007,putative acetyltransferase
amiA,STM14_3008,N-acetylmuramoyl-l-alanine amidase I
hemF,STM14_3009,coproporphyrinogen III oxidase
,STM14_3010,putative inner membrane protein
,STM14_3011,putative cytoplasmic protein
eutR,STM14_3012,transcriptional regulator EutR
eutK,STM14_3013,putative carboxysome structural protein
eutL,STM14_3014,putative carboxysome structural protein
eutC,STM14_3015,ethanolamine ammonia-lyase small subunit
eutB,STM14_3016,ethanolamine ammonia-lyase heavy chain
eutA,STM14_3017,reactivating factor for ethanolamine ammonia lyase
eutH,STM14_3018,putative transport protein
eutG,STM14_3019,putative transport protein
eutJ,STM14_3020,ethanolamine utilization protein
eutE,STM14_3021,putative aldehyde oxidoreductase
eutN,STM14_3022,putative detox protein
eutM,STM14_3023,putative detox protein
eutD,STM14_3024,phosphotransacetylase
eutT,STM14_3025,putative cobalamin adenosyltransferase
eutQ,STM14_3026,putative ethanolamine utilization protein
eutP,STM14_3027,putative ethanolamine utilization protein
eutS,STM14_3028,putative carboxysome structural protein
tnpA_8,STM14_3029,transposase
,STM14_3030,hypothetical protein
maeB,STM14_3031,malic enzyme
,STM14_3032,conserved hypothetical protein
talA,STM14_3033,transaldolase A
tktB,STM14_3034,transketolase
,STM14_3035,putative cytoplasmic protein
,STM14_3036,hypothetical protein
ypfG,STM14_3037,putative periplasmic protein
yffH,STM14_3038,putative pyrophosphohydrolase
,STM14_3039,hypothetical protein
,STM14_3040,hypothetical protein
aegA,STM14_3041,putative oxidoreductase Fe-S binding subunit
narQ,STM14_3042,nitrate/nitrite sensor protein NarQ
,STM14_3043,hypothetical protein
acrD,STM14_3044,aminoglycoside/multidrug efflux system
yffB,STM14_3045,hypothetical protein
dapE,STM14_3046,succinyl-diaminopimelate desuccinylase
,STM14_3047,hypothetical protein
ypfI,STM14_3048,putative acetyltransferase
,STM14_3049,putative inner membrane protein
purC,STM14_3050,phosphoribosylaminoimidazole-succinocarboxamide synthase
nlpB,STM14_3051,lipoprotein
dapA,STM14_3052,dihydrodipicolinate synthase
gcvR,STM14_3053,glycine cleavage system transcriptional repressor
bcp,STM14_3054,thioredoxin-dependent thiol peroxidase
,STM14_3055,putative glycerate kinase
,STM14_3056,hypothetical protein
perM,STM14_3057,putative permease
,STM14_3058,hypothetical protein
yfgD,STM14_3059,putative arsenate reductase
yfgE,STM14_3060,DNA replication initiation factor
uraA,STM14_3061,uracil transporter
upp,STM14_3062,uracil phosphoribosyltransferase
,STM14_3063,hypothetical protein
purM,STM14_3064,phosphoribosylaminoimidazole synthetase
purN,STM14_3065,phosphoribosylglycinamide formyltransferase
ppk,STM14_3066,polyphosphate kinase
ppx,STM14_3067,exopolyphosphatase
,STM14_3068,putative diguanylate cyclase
,STM14_3069,putative cytoplasmic protein
,STM14_3070,putative inner membrane protein
,STM14_3071,putative inner membrane protein
,STM14_3072,putative inner membrane protein
,STM14_3073,putative cytoplasmic protein
,STM14_3074,putative transposase
guaA,STM14_3075,bifunctional GMP synthase/glutamine amidotransferase protein
guaB,STM14_3076,inositol-5-monophosphate dehydrogenase
xseA,STM14_3077,exodeoxyribonuclease VII large subunit
shdA,STM14_3078,AIDA autotransporter-like protein
,STM14_3079,hypothetical protein
,STM14_3080,hypothetical protein
,STM14_3081,hypothetical protein
ratB,STM14_3082,
ratA,STM14_3083,putative outer membrane protein
sinI,STM14_3084,putative outer membrane protein
sinH,STM14_3085,intimin-like protein
,STM14_3086,hypothetical protein
,STM14_3087,hypothetical protein
yfgJ,STM14_3088,putative cytoplasmic protein
engA,STM14_3089,GTP-binding protein EngA
,STM14_3090,hypothetical protein
yfgL,STM14_3091,outer membrane protein assembly complex subunit YfgL
yfgM,STM14_3092,putative inner membrane protein
hisS,STM14_3093,histidyl-tRNA synthetase
ispG,STM14_3094,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
yfgA,STM14_3095,hypothetical protein
,STM14_3096,type IV pilus biogenesis/stability protein PilW
yfgB,STM14_3097,hypothetical protein
ndk,STM14_3098,nucleoside diphosphate kinase
,STM14_3099,hypothetical protein
,STM14_3100,putative polyferredoxin
,STM14_3101,putative dimethylsulfoxide reductase
,STM14_3102,putative anaerobic dimethylsulfoxide reductase
,STM14_3103,putative anaerobic dimethylsulfoxide reductase
pbpC,STM14_3104,penicillin-binding protein 1C
,STM14_3105,putative inner membrane lipoprotein
sseA,STM14_3106,3-mercaptopyruvate sulfurtransferase
,STM14_3107,hypothetical protein
,STM14_3108,putative cytoplasmic protein
,STM14_3109,hypothetical protein
sseB,STM14_3110,enhanced serine sensitivity protein SseB
pepB,STM14_3111,aminopeptidase B
yfhJ,STM14_3112,hypothetical protein
fdx,STM14_3113,electron carrer protein
hscA,STM14_3114,chaperone protein HscA
hscB,STM14_3115,co-chaperone HscB
iscA,STM14_3116,iron-sulfur cluster assembly protein
nifU,STM14_3117,scaffold protein
nifS,STM14_3118,cysteine desulfurase
,STM14_3119,hypothetical protein
yfhP,STM14_3120,DNA-binding transcriptional regulator IscR
,STM14_3121,putative rRNA methylase
,STM14_3122,hypothetical protein
,STM14_3123,hypothetical protein
suhB,STM14_3124,inositol monophosphatase
,STM14_3125,putative hydrolase
asrA,STM14_3126,anaerobic sulfide reductase
asrB,STM14_3127,anaerobic sulfite reductase subunit B
asrC,STM14_3128,anaerobic sulfide reductase
,STM14_3129,putative inner membrane protein
,STM14_3130,hypothetical protein
csiE,STM14_3131,stationary phase inducible protein CsiE
hcaT,STM14_3132,putative 3-phenylpropionic acid transporter
glyA,STM14_3133,serine hydroxymethyltransferase
,STM14_3134,conserved hypothetical protein
hmpA,STM14_3135,nitric oxide dioxygenase
cadC,STM14_3136,DNA-binding transcriptional activator CadC
cadB,STM14_3137,lysine/cadaverine antiporter
cadA,STM14_3138,lysine decarboxylase 1
yjdL,STM14_3139,putative di-/tripeptide transport protein
glnB,STM14_3140,nitrogen regulatory protein P-II 1
yfhA,STM14_3141,putative transcriptional regulator
yfhG,STM14_3142,hypothetical protein
yfhK,STM14_3143,putative sensor kinase
,STM14_3144,hypothetical protein
purG,STM14_3145,phosphoribosylformylglycinamidine synthase
,STM14_3146,putative periplasmic protein
yfhD,STM14_3147,putative transglycosylase
yfhC,STM14_3148,tRNA-specific adenosine deaminase
yfhB,STM14_3149,hypothetical protein
,STM14_3150,putative phosphotransferase system IIB component
murQ,STM14_3151,N-acetylmuramic acid-6-phosphate etherase
yfhH,STM14_3152,putative DNA-binding transcriptional regulator
,STM14_3153,2-dehydropantoate 2-reductase
,STM14_3154,putative permease
,STM14_3155,putative transcriptional regulator
yfhL,STM14_3156,putative ferredoxin
acpS,STM14_3157,4'-phosphopantetheinyl transferase
pdxJ,STM14_3158,pyridoxal phosphate biosynthetic protein PdxJ
recO,STM14_3159,DNA repair protein RecO
era,STM14_3160,GTP-binding protein Era
rnc,STM14_3161,ribonuclease III
lepB,STM14_3162,lsignal peptidase I
lepA,STM14_3163,GTP-binding protein LepA
gogB,STM14_3164,leucine-rich repeat-containing protein
,STM14_3165,hypothetical protein
,STM14_3166,transposase-like protein
,STM14_3167,PagK-like protein
,STM14_3168,phage tail assembly-like protein
,STM14_3169,phage tail assembly-like protein
,STM14_3170,tail fiber-like protein
,STM14_3171,conserved hypothetical protein
,STM14_3172,host specificity protein-J-like protein
,STM14_3173,tail assembly protein I-like protein
,STM14_3174,tail assembly protein K-like protein
,STM14_3175,phage tail component L-like protein
,STM14_3176,phage tail component M-like protein
,STM14_3177,phage tail component H-like protein
,STM14_3178,minor tail-like protein
,STM14_3179,minor tail-like protein
,STM14_3180,major tail-like protein
,STM14_3181,hypothetical protein
,STM14_3182,putative virulence protein
,STM14_3183,minor tail protein Z-like protein
,STM14_3184,minor capsid protein FII
,STM14_3185,
,STM14_3186,phage head-like protein
,STM14_3187,phage head-like protein
,STM14_3188,head-tail preconnector-like protein
,STM14_3189,head-tail preconnector-like protein
,STM14_3190,head-to-tail joining-like protein
,STM14_3191,terminase-like large protein
,STM14_3192,DNA packaging-like protein
,STM14_3193,hypothetical protein
,STM14_3194,endopeptidase-like protein
,STM14_3195,morphogenesis-like protein
,STM14_3196,hypothetical protein
,STM14_3197,hypothetical protein
,STM14_3198,hypothetical protein
,STM14_3199,hypothetical protein
,STM14_3201,antirepressor-like protein
,STM14_3202,hypothetical protein
,STM14_3203,antiterminator-like protein
,STM14_3204,hypothetical protein
,STM14_3205,hypothetical protein
,STM14_3206,hypothetical protein
,STM14_3207,hypothetical protein
,STM14_3208,putative bacteriophage protein
,STM14_3209,prophage DinI
,STM14_3210,hypothetical protein
,STM14_3211,hypothetical protein
,STM14_3212,Eaa1
,STM14_3213,phage replication protein P
,STM14_3214,phage replication protein O
,STM14_3215,prophage cI protein
,STM14_3216,conserved hypothetical protein
,STM14_3217,putative regulator
,STM14_3218,chromosome partitioning ATPase
,STM14_3219,hypothetical protein
,STM14_3220,hypothetical protein
,STM14_3221,Gifsy-1 prophage protein
,STM14_3222,hypothetical protein
,STM14_3223,hypothetical protein
,STM14_3224,exodeoxyribonuclease VIII-like protein
,STM14_3225,enterohemolysin 1-like protein
,STM14_3226,putative cytoplasmic protein
,STM14_3227,excisionase-like protein
,STM14_3228,integrase-like protein
,STM14_3229,hypothetical protein
,STM14_3230,hypothetical protein
rseC,STM14_3231,SoxR reducing system protein RseC
rseB,STM14_3232,periplasmic negative regulator of sigmaE
rseA,STM14_3233,anti-RNA polymerase sigma factor SigE
rpoE,STM14_3234,RNA polymerase sigma factor RpoE
,STM14_3235,hypothetical protein
,STM14_3236,hypothetical protein
nadB,STM14_3237,L-aspartate oxidase
yfiC,STM14_3238,putative transferase
,STM14_3239,putative methyltransferase
srmB,STM14_3240,ATP-dependent RNA helicase SrmB
yfiE,STM14_3241,putative transcriptional regulator
yfiK,STM14_3242,neutral amino-acid efflux protein
yfiD,STM14_3243,autonomous glycyl radical cofactor GrcA
ung,STM14_3244,uracil-DNA glycosylase
yfiF,STM14_3245,putative methyltransferase
trxC,STM14_3246,thioredoxin 2
yfiP,STM14_3247,putative cytoplasmic protein
yfiQ,STM14_3248,putative acetyl-CoA synthetase
,STM14_3249,hypothetical protein
pssA,STM14_3250,phosphatidylserine synthase
yfiM,STM14_3251,hypothetical protein
kgtP,STM14_3252,alpha-ketoglutarate transporter
,STM14_3253,putative cytoplasmic protein
,STM14_3255,hypothetical protein
,STM14_3259,hypothetical protein
,STM14_3260,hypothetical protein
clpB,STM14_3261,protein disaggregation chaperone
yfiH,STM14_3262,hypothetical protein
rluD,STM14_3263,23S rRNA pseudouridine synthase D
yfiO,STM14_3264,outer membrane protein assembly complex subunit YfiO
,STM14_3265,
yfiA,STM14_3266,translation inhibitor protein RaiA
,STM14_3267,hypothetical protein
pheA,STM14_3268,bifunctional chorismate mutase/prephenate dehydratase
,STM14_3269,putative cytoplasmic protein
tyrA,STM14_3270,bifunctional chorismate mutase/prephenate dehydrogenase
aroF,STM14_3271,phospho-2-dehydro-3-deoxyheptonate aldolase
,STM14_3272,hypothetical protein
,STM14_3273,hypothetical protein
yfiR,STM14_3274,putative periplasmic protein
yfiN,STM14_3275,hypothetical protein
rplS,STM14_3276,50S ribosomal protein L19
trmD,STM14_3277,tRNA (guanine-N(1)-)-methyltransferase
rimM,STM14_3278,16S rRNA-processing protein
rpsP,STM14_3279,30S ribosomal protein S16
,STM14_3280,hypothetical protein
ffh,STM14_3281,signal recognition particle protein
,STM14_3282,putative cytochrome c-type biogenesis protein (heme exporter)
corE,STM14_3283,hypothetical protein
yfjD,STM14_3284,hypothetical protein
,STM14_3285,putative cytoplasmic protein
grpE,STM14_3286,heat shock protein GrpE
ppnK,STM14_3288,inorganic polyphosphate/ATP-NAD kinase
recN,STM14_3289,recombination and repair protein
smpA,STM14_3290,hypothetical protein
,STM14_3291,hypothetical protein
yfjF,STM14_3292,hypothetical protein
yfjG,STM14_3293,hypothetical protein
smpB,STM14_3294,SsrA-binding protein
,STM14_3295,hypothetical protein
,STM14_3296,hypothetical protein
,STM14_3297,
,STM14_3298,putative outer membrane efflux protein
,STM14_3299,putative ABC transporter transmembrane region
,STM14_3300,HlyD family secretion protein
,STM14_3301,hypothetical protein
,STM14_3302,integrase-like protein
,STM14_3303,hypothetical protein
,STM14_3304,putative periplasmic protein
,STM14_3305,putative cytoplasmic protein
,STM14_3306,putative cytoplasmic protein
,STM14_3307,putative cytoplasmic protein
,STM14_3308,putative inner membrane protein
,STM14_3309,hypothetical protein
,STM14_3310,putative ATPase
,STM14_3311,putative cytoplasmic protein
,STM14_3312,hypothetical protein
,STM14_3313,putative transcriptional regulator
,STM14_3314,putative cytoplasmic protein
,STM14_3315,putative PTS system glucitol/sorbitol-specific enzyme II
,STM14_3316,putative glucitol-specific PTS enzyme III
,STM14_3317,putative glucitol-specific PTS enzyme III
,STM14_3318,putative dehydrogenase
,STM14_3319,putative hexulose 6 phosphate synthase
,STM14_3320,putative hexulose 6 phosphate synthase
,STM14_3321,putative sugar phosphate aminotransferase
,STM14_3322,putative cytoplasmic protein
,STM14_3323,
,STM14_3324,hypothetical protein
,STM14_3325,putative dipeptide/oligopeptide/nickel ABC-type transport system periplasmic component
,STM14_3326,hypothetical protein
,STM14_3327,putative integrase
,STM14_3328,putative inner membrane protein
