Gene,Locus Tag,Protein
,STM2208,putative inner membrane protein
,STM2209,putative inner membrane protein
yeiP,STM2211,putative elongation factor
yeiR,STM2212,putative cobalamin synthesis protein
yeiU,STM2213,putative permease
spr,STM2214,putative lipoprotein
rtn,STM2215,putative membrane protein involved in resistance to lambda and N4 phages
yejA,STM2216,putative ABC transporter periplasmic binding protein
yejB,STM2217,"putative ABC-type dipeptide/oligopeptide/nickel transport systems, permease component"
yejE,STM2218,"putative ABC-type dipeptide/oligopeptide/nickel transport systems, permease component"
yejF,STM2219,putative ATPase component of ABC-type transport system
yejG,STM2220,putative cytoplasmic protein
bcr,STM2221,bicyclomycin resistance protein
rsuA,STM2222,16S rRNA pseudouridylate 516 synthase
yejH,STM2223,putative ATP-dependent helicase
rplY,STM2224,50S ribosomal subunit protein L25
,STM2225,putative inner membrane protein
yejK,STM2226,nucleotide associated protein
yejL,STM2227,putative cytoplasmic protein
yejM,STM2228,putative hydrolase of alkaline phosphatase superfamily
,STM2230,putative peptidase
,STM2231,ssrB-regulated factor
oafA,STM2232,acetylation of the O-antigen (LPS)
,STM2233,putative cytoplasmic protein
,STM2234,putative tail fiber assembly protein
,STM2235,putative phage protein
,STM2236,putative phage protein
,STM2237,putative inner membrane protein
,STM2238,putative phage protein
,STM2239,putative phage protein
,STM2240,putative cytoplasmic protein
sspH2,STM2241,Leucine-rich repeat protein
,STM2242,putative tail fiber protein of phage
,STM2243,putative tail fiber protein of phage
,STM2244,virulence protein MsgA-like protein
,STM2245,putative outer membrane protein
narP,STM2246,response regulator in two-component regulatory system with NarQ (or NarX)
ccmH,STM2247,putative heme lyase subunit
ccmG,STM2248,heme lyase/disulfide oxidoreductase
ccmF,STM2249,cytochrome c-type biogenesis protein
ccmE,STM2250,periplasmic heme-dependent peroxidase
ccmD,STM2251,heme exporter protein C
ccmC,STM2252,heme exporter protein
ccmB,STM2253,ABC superfamily (membrane) heme exporter protein
ccmA,STM2254,ABC superfamily (membrane) heme exporter protein
napC,STM2255,periplasmic nitrate reductase
napB,STM2256,periplasmic small subunit nitrate reductase of cytochrome C550
napH,STM2257,ferredoxin-type protein
napG,STM2258,ferredoxin-type protein
napA,STM2259,periplasmic large subunit nitrate reductase
napD,STM2260,periplasmic nitrate reductase
napF,STM2261,ferredoxin-type protein
eco,STM2262,ecotin
yojI,STM2263,putative ABC-type multidrug/protein/lipid transport system
alkB,STM2264,DNA repair system specific for alkylated DNA
ada,STM2265,O6-methylguanine-DNA methyltransferase
apbE,STM2266,putative thiamine biosynthesis lipoprotein
ompC,STM2267,outer membrane protein 1b (ib;c)
yojN,STM2269,putative sensor/kinase in regulatory system
rcsB,STM2270,LuxR/UhpA family response regulator in two-component regulatory system with RcsC
rcsC,STM2271,sensory histidine kinase in two-component regulatory system with RcsB
gyrA,STM2272,"DNA gyrase, subunit A"
,STM2273,putative dehydratase protein
,STM2274,putative permease
,STM2275,putative gntR family regulatory protein
ubiG,STM2276,3-demethylubiquinone-9 3-methyltransferase
nrdA,STM2277,"ribonucleoside diphosphate reductase 1, alpha subunit"
nrdB,STM2278,"ribonucleoside-diphosphate reductase 1, beta subunit"
yfaE,STM2279,putative ferredoxin
,STM2280,putative permease
,STM2281,putative LysR family transcriptional regulator
glpQ,STM2282,periplasmic glycerophosphodiester phosphodiesterase
glpT,STM2283,"MFS family, sn-glycerol-3-phosphate transport protein"
glpA,STM2284,"sn-glycerol-3-phosphate dehydrogenase (anaerobic), large subunit"
glpB,STM2285,"sn-glycerol-3-phosphate dehydrogenase (anaerobic), membrane anchor subunit"
glpC,STM2286,"sn-glycerol-3-phosphate dehydrogenase (anaerobic), K-small subunit"
,STM2287,putative cytoplasmic protein
,STM2288,putative cytoplasmic protein
,STM2289,"putative 2,4-dihydoxyhept-2-ene-1,7-dioic acid aldolase"
yfaV,STM2290,putative MFS family transport protein
yfaW,STM2291,putative galactonate dehydratase
yfaX,STM2292,putative transcriptional regulator
,STM2293,putative nucleotide-utilizing enzyme related to molybdopterin-biosynthesis
yfaZ,STM2294,putative inner membrane protein
yfaO,STM2295,putative NTP pyrophosphohydrolases including oxidative damage repair enzymes
ais,STM2296,aluminum inducible protein
yfbE,STM2297,putative DegT/DnrJ/EryC1/StrS family
pmrF,STM2298,putative glycosyl transferase
yfbG,STM2299,putative transformylase
,STM2300,putative cytoplasmic protein
pqaB,STM2301,putative melittin resistance protein
,STM2302,putative inner membrane protein
,STM2303,putative inner membrane protein
pmrD,STM2304,polymyxin resistance protein B
menE,STM2305,o-succinylbenzoate-CoA ligase
menC,STM2306,o-succinylbenzoyl-CoA synthase
menB,STM2307,dihydroxynaphtoic acid synthetase
yfbB,STM2308,putative enzyme
menD,STM2309,2-oxoglutarate decarboxylase
menF,STM2310,isochorismate synthase
elaB,STM2311,putative inner membrane protein
elaA,STM2312,putative acyltransferase
elaC,STM2313,putative metal-dependent hydrolase
,STM2314,putative chemotaxis signal transduction protein
yfbK,STM2315,"putative von Willebrand factor, vWF type A domain protein"
nuoN,STM2316,NADH dehydrogenase I chain N
nuoM,STM2317,NADH dehydrogenase I chain M
nuoL,STM2318,NADH dehydrogenase I chain L
nuoK,STM2319,NADH dehydrogenase I chain K
nuoJ,STM2320,NADH dehydrogenase I chain J
nuoI,STM2321,NADH dehydrogenase I chain I
nuoH,STM2322,NADH dehydrogenase I chain H
nuoG,STM2323,NADH dehydrogenase I chain G
nuoF,STM2324,NADH dehydrogenase I chain F
nuoE,STM2325,NADH dehydrogenase I chain E
nuoC,STM2326,"NADH dehydrogenase I chain C,D"
nuoB,STM2327,NADH dehydrogenase I chain B
nuoA,STM2328,NADH dehydrogenase I chain A
,STM2329,putative cytoplasmic protein
lrhA,STM2330,LysR family NADH dehydrogenase transcriptional repressor
yfbQ,STM2331,putative aminotransferase (ortho)
,STM2332,putative hydrolase of HD superfamily
yfbS,STM2333,putative response regulator
yfbT,STM2334,putative phosphatase
yfbU,STM2335,putative cytoplasmic protein
,STM2336,putative cytoplasmic protein
ackA,STM2337,acetate kinase A
pta,STM2338,phosphotransacetylase
yfcC,STM2339,putative integral membrane protein
,STM2340,putative transketolase
,STM2341,putative transketolase
,STM2342,putative inner membrane protein
,STM2343,putative cytoplasmic protein
,STM2344,putative phosphotransferase system
,STM2345,putative transcriptional regulator
,STM2346,putative NTP pyrophosphohydrolase
yfcE,STM2347,putative phosphoesterase
yfcF,STM2348,putative glutathione-S-transferase
yfcG,STM2349,putative glutathione S-transferase
yfcH,STM2350,putative sugar nucleotide epimerase
hisP,STM2351,histidine and lysine/arginine/ornithine transport protein
hisM,STM2352,histidine and lysine/arginine/ornithine transport protein
hisQ,STM2353,histidine and lysine/arginine/ornithine transport system
hisJ,STM2354,histidine transport protein
argT,STM2355,lysine/arginine/ornithine transport protein
ubiX,STM2356,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
,STM2357,putative amino acid transporter
,STM2358,putative cytoplasmic protein
,STM2359,putative amino acid transporter
,STM2360,putative diaminopimelate decarboxylase
,STM2361,putative regulatory protein
purF,STM2362,amidophosphoribosyltransferase
cvpA,STM2363,membrane protein required for colicin V production
dedD,STM2364,putative lipoprotein
folC,STM2365,folylpolyglutamate synthase
accD,STM2366,"acetylCoA carboxylase, beta subunit"
dedA,STM2367,putative DedA family
truA,STM2368,pseudouridylate synthase I
usg,STM2369,putative aspartate-semialdehyde dehydrogenase
pdxB,STM2370,erythronate-4-phosphate dehydrogenase
flk,STM2371,cell division protein
,STM2372,putative transport protein
,STM2373,putative cytoplasmic protein
,STM2374,putatiave helix-turn-helix regulatory protein
,STM2375,putative cytoplasmic protein
,STM2376,putative periplasmic protein
,STM2377,putative inner membrane protein
fabB,STM2378,3-oxoacyl-[acyl-carrier-protein
,STM2379,putative peptidase
yfcL,STM2380,putative cytoplasmic protein
yfcM,STM2381,putative cytoplasmic protein
yfcA,STM2382,putative permease
mepA,STM2383,penicillin-insensitive murein DD-endopeptidase
aroC,STM2384,chorismate synthase
yfcB,STM2385,putative methylase
yfcN,STM2386,putative Smr domain containing protein
sixA,STM2387,phosphohistidine phosphatase
yfcX,STM2388,putative dehydrogenase
yfcY,STM2389,putative acetyl-CoA acetyltransferase
yfcZ,STM2390,putative cytoplasmic protein
fadL,STM2391,transport of long-chain fatty acids
vacJ,STM2392,lipoprotein precursor
yfdC,STM2393,putative transport
pgtE,STM2395,outer membrane protein E
pgtA,STM2396,activator protein
pgtB,STM2397,protein for signal transmission
pgtC,STM2398,protein for signal transmission
pgtP,STM2399,transporter protein
,STM2400,putative inner membrane protein
ddg,STM2401,cold shock-induced palmitoleoyl transferase
yfdZ,STM2402,putative aminotransferase
glk,STM2403,glucokinase
,STM2404,putative chloride channel permease
,STM2405,putative thiamine pyrophosphate enzymes
,STM2406,putative oxidoreductase
ypeC,STM2407,putative periplasmic protein
mntH,STM2408,manganese/divalent cation transport protein
nupC,STM2409,NUP family nucleoside transport protein
yfeA,STM2410,putative diguanylate cyclase/phosphodiesterase domain 1 containing protein
yfeC,STM2413,putative negative regulator
yfeD,STM2414,putative negative regulator
gltX,STM2415,"glutamate tRNA synthetase, catalytic subunit"
xapR,STM2420,regulator for XapA
xapB,STM2421,MFS superfamily xanthosine permease
xapA,STM2422,xanthosine phosphorylase
yfeN,STM2423,putative outer membrane protein
yfeR,STM2424,putative LysR family transcriptional regulator
yfeH,STM2425,putative Na+-dependent transporter
,STM2426,putative cytoplasmic protein
lig,STM2427,DNA ligase
zipA,STM2428,cell division protein involved in FtsZ ring
cysZ,STM2429,required for sulfate transport
cysK,STM2430,subunit of cysteine synthase A and O-acetylserine sulfhydrolase A
ptsH,STM2431,phosphohistidinoprotein-hexose phosphotransferase
ptsI,STM2432,PEP-protein phosphotransferase
crr,STM2433,glucose-specific IIA component
,STM2434,putative cytoplasmic protein
pdxK,STM2435,pyridoxal-pyridoxamine kinase
ptsJ,STM2436,putative gntR family regulatory protein
yfeJ,STM2437,putative GMP synthase
yfeK,STM2438,putative periplasmic protein
yfeL,STM2439,putative membrane carboxypeptidase
cysM,STM2440,cysteine synthase B
cysA,STM2441,sulfate permease A protein
cysW,STM2442,thiosulfate permease W protein
cysU,STM2443,thiosulfate transport protein
cysP,STM2444,thiosulfate transport protein
ucpA,STM2445,putative oxidoreductase
,STM2446,putative iron-dependent peroxidase
,STM2447,putative outer membrane lipoprotein
yfeZ,STM2448,putative inner membrane protein
,STM2449,putative acetyltransferase
amiA,STM2450,N-acetylmuramoyl-l-alanine amidase I
hemF,STM2451,coproporphyrinogen III oxidase
,STM2452,putative inner membrane protein
,STM2453,putative cytoplasmic protein
eutR,STM2454,putative regulator ethanolamine operon
eutK,STM2455,putative carboxysome structural protein
eutL,STM2456,putative carboxysome structural protein
eutC,STM2457,"ethanolamine ammonia-lyase, light chain"
eutB,STM2458,"ethanolamine ammonia-lyase, heavy chain"
eutA,STM2459,CPPZ-55 prophage protein
eutH,STM2460,putative transport protein
eutG,STM2461,putative transport protein in ethanolamine utilization
eutJ,STM2462,putative heatshock protein (Hsp70)
eutE,STM2463,putative aldehyde oxidoreductase in ethanolamine utilization
eutN,STM2464,putative detox protein in ethanolamine utilization
eutM,STM2465,putative detox protein in ethanolamine utilization
eutD,STM2466,putative phosphotransacetylase in ethanolamine utilization
eutT,STM2467,putative ethanolamine utilization cobalamin adenosyltransferase
eutQ,STM2468,putative ethanolamine utilization protein
eutP,STM2469,putative ethanolamine utilization protein
eutS,STM2470,putative ethanol utilization carboxysome structural protein
tnpA_3,STM2471,transposase for IS200
maeB,STM2472,putative transferase
talA,STM2473,transaldolase A
tktB,STM2474,transketolase 2 isozyme
,STM2475,putative cytoplasmic protein
ypfG,STM2476,putative periplasmic protein
yffH,STM2477,putative pyrophosphohydrolase
,STM2478,putative beta-lactamase class C
aegA,STM2479,putative oxidoreductase
narQ,STM2480,sensory histidine kinase in two-component regulatory system with NarP (NarL)
acrD,STM2481,RND family aminoglycoside/multidrug efflux pump
yffB,STM2482,putative glutaredoxin family protein
dapE,STM2483,N-succinyl-diaminopimelate deacylase
,STM2484,putative inner membrane protein
ypfI,STM2485,putative acetyltransferase
,STM2486,putative inner membrane protein
purC,STM2487,phosphoribosylaminoimidazole-succinocarboxamide synthetase
nlpB,STM2488,lipoprotein-34
dapA,STM2489,dihydrodipicolinate synthase
gcvR,STM2490,transcriptional repressor of gcv operon
bcp,STM2491,thioredoxin dependent thiol peroxidase
,STM2492,putative glycerate kinase
perM,STM2493,putative PerM family permease
,STM2494,putative inner membrane or exported
yfgD,STM2495,putative arsenate reductase
yfgE,STM2496,putative ATPase involved in DNA replication initiation
uraA,STM2497,NCS2 family uracil transport protein
upp,STM2498,uracil phosphoribosyltransferase
purM,STM2499,phosphoribosylaminoimidazole synthetase
purN,STM2500,polyphosphate kinase
ppk,STM2501,polyphosphate kinase
ppx,STM2502,exopolyphosphatase
,STM2503,putative diguanylate cyclase
,STM2504,putative cytoplasmic protein
,STM2505,putative inner membrane protein
,STM2506,putative inner membrane protein
,STM2507,putative inner membrane protein
,STM2508,putative cytoplasmic protein
,STM2509,putative IS3-like transposase
guaA,STM2510,GMP synthetase
guaB,STM2511,IMP dehydrogenase
xseA,STM2512,"exonuclease VII, large subunit"
shdA,STM2513,C-terminal region of AIDA-like protein
ratB,STM2514,putative outer membrane protein
ratA,STM2515,putative outer membrane protein
sinI,STM2516,putative outer membrane protein
sinH,STM2517,SinH
yfgJ,STM2518,putative cytoplasmic protein
engA,STM2519,putative GTP-binding protein
yfgL,STM2520,putative serine/threonine protein kinase
yfgM,STM2521,putative inner membrane protein
hisS,STM2522,histidine tRNA synthetase
gcpE,STM2523,putative protein
yfgA,STM2524,putative membrane protein
yfgB,STM2525,putative Fe-S-cluster redox enzyme
ndk,STM2526,nucleoside diphosphate kinase
,STM2527,putative polyferredoxin
,STM2528,putative dimethylsulfoxide reductase
,STM2529,putative anaerobic dimethylsulfoxide reductase
,STM2530,putative anaerobic dimethylsulfoxide reductase
pbpC,STM2531,transglycosylase of penicillin-binding protein 1c
,STM2532,putative inner membrane lipoprotein
sseA,STM2533,putative sulfurtransferase
,STM2534,putative cytoplasmic protein
sseB,STM2535,enhances serine sensitivity
pepB,STM2536,putative aminopeptidase
yfhJ,STM2537,hypothetical protein
fdx,STM2538,[2FE-2S
hscA,STM2539,chaperone protein
hscB,STM2540,co-chaperone protein Hsc20
yfhF,STM2541,putative regulator
nifU,STM2542,NifU homolog
nifS,STM2543,putative aminotransferase class-V
yfhP,STM2544,hypothetical protein
,STM2545,putative rRNA methylase
suhB,STM2546,inositol monophosphatase
,STM2547,putative hydrolase
asrA,STM2548,anaerobic sulfide reductase
asrB,STM2549,anaerobic sulfide reductase
asrC,STM2550,anaerobic sulfide reductase
,STM2551,putative inner membrane protein
,STM2552,putative periplasmic or exported protein
csiE,STM2553,stationary phase inducible protein
hcaT,STM2554,putative MFS family transport protein
glyA,STM2555,serine hydroxymethyltransferase
hmpA,STM2556,dihydropteridine reductase 2
cadC,STM2557,transcriptional activator of cad operon
cadB,STM2558,APC family lysine/cadaverine transport protein
cadA,STM2559,lysine decarboxylase 1
yjdL,STM2560,"putative POT family, di-/tripeptide transport protein"
glnB,STM2561,regulatory protein (P-II) for nitrogen assimilation by glutamine synthetase (ATase)
yfhA,STM2562,putative transcriptional regulator of two-component regulator protein
yfhG,STM2563,putative transcriptional regulator of two-component regulator protein (EBP familiiy)
yfhK,STM2564,putative sensory kinase in regulatory system
purG,STM2565,phosphoribosylformylglycinamidine synthetase
,STM2566,putative periplasmic protein
yfhD,STM2567,putative periplasmic amino acid binding protein
yfhC,STM2568,putative cytosine/adenosine deaminase
yfhB,STM2569,putatative phosphoserine phosphatase
,STM2570,putative phosphotransferase system IIB components
,STM2571,putative aminotransferase
yfhH,STM2572,putative ABC superfamily transport protein
,STM2573,putative ketopantoate reductase
,STM2574,putative permease
,STM2575,putative LysR family transcriptional regulator
yfhL,STM2576,putative ferredoxin
acpS,STM2577,holo-[acyl-carrier-protein
pdxJ,STM2578,carries out condensation and ring closure step after PdxA in pyridoxine biosynthesis
recO,STM2579,gap repair gene
era,STM2580,GTPase
rnc,STM2581,"RNase III, ds RNA"
lepB,STM2582,"leader peptidase (signal peptidase I), serine protease"
lepA,STM2583,GTP-binding elongation factor
gogB,STM2584,Gifsy-1 prophage leucine-rich repeat protein
,STM2585,Gifsy-1 prophage protein
,STM2585A,Gifsy-1 prophage protein
,STM2586,Gifsy-1 prophage protein
,STM2587,Gifsy-1 prophage protein
,STM2588,Gifsy-1 prophage protein
,STM2589,Gifsy-1 prophage protein
,STM2590,Gifsy-1 prophage protein
,STM2591,Gifsy-1 prophage protein
,STM2592,Gifsy-1 prophage protein
,STM2593,Gifsy-1 prophage protein
,STM2594,Gifsy-1 prophage protein
,STM2595,Gifsy-1 prophage protein
,STM2596,Gifsy-1 prophage protein
,STM2597,Gifsy-1 prophage protein
,STM2598,Gifsy-1 prophage protein
,STM2599,Gifsy-1 prophage protein
,STM2600,Gifsy-1 prophage
,STM2601,Gifsy-1 prophage protein
,STM2602,Gifsy-1 prophage protein
,STM2603,Gifsy-1 prophage protein
,STM2604,Gifsy-1 prophage protein
,STM2605,Gifsy-1 prophage protein
,STM2606,Gifsy-1 prophage protein
,STM2607,Gifsy-1 prophage protein
,STM2608,Gifsy-1 prophage protein
,STM2609,Gifsy-1 prophage protein
,STM2610,Gifsy-1 prophage protein
,STM2611,Gifsy-1 prophage protein
,STM2612,Gifsy-1 prophage protein
,STM2613,Gifsy-1 prophage protein
,STM2614,Gifsy-1 prophage protein
,STM2616,Gifsy-1 prophage
,STM2617,Gifsy-1 prophage protein
,STM2618,Gifsy-1 prophage protein
,STM2619,Gifsy-1 prophage protein
,STM2620,Gifsy-1 prophage protein
,STM2621,Gifsy-1 prophage protein
,STM2622,Gifsy-1 prophage protein
,STM2623,Gifsy-1 prophage protein
,STM2624,Gifsy-1 prophage protein
,STM2625,Gifsy-1 prophage protein
,STM2626,Gifsy-1 prophage protein
,STM2627,Gifsy-1 prophage protein
,STM2628,Gifsy-1 prophage protein
,STM2629,Gifsy-1 prophage protein
,STM2630,Gifsy-1 prophage protein
,STM2631,Gifsy-1 prophage protein
,STM2632,Gifsy-1 prophage protein
,STM2633,Gifsy-1 prophage protein
,STM2634,putative cytoplasmic protein
,STM2635,Gifsy-1 prophage protein
,STM2636,Gifsy-1 prophage protein
rseC,STM2637,regulator of sigma E (sigma 24) factor
rseB,STM2638,"anti sigma E (sigma 24) factor, negative regulator"
rseA,STM2639,"anti sigma E (sigma 24) factor, negative regulator"
rpoE,STM2640,sigma E (sigma 24) factor of RNA polymerase
nadB,STM2641,"quinolinate synthetase, B protein"
yfiC,STM2642,putative transferase
srmB,STM2643,ATP-dependent RNA helicase
yfiE,STM2644,putative LysR family transcriptional regulator
yfiK,STM2645,putative transport protein
yfiD,STM2646,putative formate acetyltransferase
ung,STM2647,uracil-DNA-glycosylase
yfiF,STM2648,putative tRNA/rRNA methyltransferase
trxC,STM2649,"thioredoxin 2, redox factor"
yfiP,STM2650,putative cytoplasmic protein
yfiQ,STM2651,putative acetyl-CoA synthetase
pssA,STM2652,phosphatidylserine synthase
yfiM,STM2653,putative outer membrane lipoprotein
kgtP,STM2654,MFS family alpha-ketoglutarate permease
,STM2655,putative cytoplasmic protein
clpB,STM2660,ATP-dependent protease
yfiH,STM2661,putative inner membrane protein
rluD,STM2662,pseudouridine synthase
yfiO,STM2663,putative lipoprotein
yfiA,STM2665,ribosome associated factor
,STM2666,hypothetical protein
pheA,STM2667,chorismate mutase P
,STM2668,putative cytoplasmic protein
tyrA,STM2669,chorismate mutase T
aroF,STM2670,3-deoxy-D-arabinoheptulosonate-7-phosphate synthase
yfiR,STM2671,putative periplasmic protein
yfiN,STM2672,putative diguanylate cyclase/phosphodiesterase
rplS,STM2673,50S ribosomal subunit protein L19
trmD,STM2674,tRNA (guanine-7-)-methyltransferase
rimM,STM2675,16S rRNA processing protein
rpsP,STM2676,30S ribosomal subunit protein S16
ffh,STM2677,4.5S-RNP protein
corE,STM2678,putative cytochrome c-type biogenesis protein
yfjD,STM2679,putative membrane protein
,STM2680,putative cytoplasmic protein
grpE,STM2681,molecular chaparone
,STM2682,putative cytoplasmic protein
yfjB,STM2683,putative kinase
recN,STM2684,protein used in recombination and DNA repair
smpA,STM2685,small membrane protein A
yfjF,STM2686,putative cytoplasmic protein
yfjG,STM2687,putative oligoketide cyclase/lipid transport protein
smpB,STM2688,small protein B
,STM2690,putative outer membrane efflux protein
,STM2691,putative ABC transporter transmembrane region
,STM2692,putative HlyD family secretion protein
,STM2694,Fels-2 prophage protein
,STM2695,Fels-2 prophage protein
,STM2696,Fels-2 prophage protein
,STM2697,Fels-2 prophage protein
,STM2698,Fels-2 prophage protein
,STM2699,Fels-2 prophage protein
,STM2700,Fels-2 prophage protein
,STM2701,Fels-2 prophage protein
,STM2702,Fels-2 prophage protein
,STM2703,Fels-2 prophage protein
,STM2704,Fels-2 prophage protein
,STM2705,Fels-2 prophage protein
,STM2706,Fels-2 prophage protein
,STM2707,Fels-2 prophage protein
,STM2708,Fels-2 prophage protein
,STM2709,Fels-2 prophage protein
,STM2710,Fels-2 prophage protein
,STM2711,Fels-2 prophage protein
,STM2712,Fels-2 prophage protein
,STM2713,Fels-2 prophage protein
,STM2714,Fels-2 prophage protein
,STM2715,Fels-2 prophage protein
,STM2716,Fels-2 prophage protein
,STM2717,Fels-2 prophage protein
,STM2718,Fels-2 prophage protein
,STM2719,Fels-2 prophage protein
,STM2720,Fels-2 prophage protein
,STM2721,Fels-2 prophage protein
,STM2722,Fels-2 prophage protein
,STM2723,Fels-2 prophage protein
,STM2724,Fels-2 prophage protein
,STM2726,Fels-2 prophage protein
,STM2727,Fels-2 prophage protein
,STM2728,Fels-2 prophage protein
,STM2729,Fels-2 prophage protein
,STM2730,Fels-2 prophage protein
,STM2731,Fels-2 prophage protein
,STM2732,Fels-2 prophage protein
,STM2733,Fels-2 prophage protein
,STM2734,Fels-2 prophage protein
,STM2735,Fels-2 prophage protein
,STM2736,Fels-2 prophage protein
,STM2737,Fels-2 prophage protein
,STM2738,Fels-2 prophage protein
,STM2739,Fels-2 prophage protein
,STM2740,Fels-2 prophage protein
,STM2741,putative periplasmic protein
,STM2742,putative cytoplasmic protein
,STM2743,putative cytoplasmic protein
,STM2744,putative cytoplasmic protein
,STM2745,putative inner membrane protein
,STM2746,putative excinuclease ATPase subunit
,STM2747,putative cytoplasmic protein
,STM2748,putative transcriptional regulator
,STM2749,putative cytoplasmic protein
,STM2750,putative PTS system glucitol/sorbitol-specific enzyme II
,STM2751,putative PTS enzyme III glucitol
,STM2752,putative PTS enzyme III glucitol
,STM2753,putative dehydrogenase
,STM2754,putative hexulose 6 phosphate synthase
,STM2755,putative hexulose 6 phosphate synthase
,STM2756,putative sugar phosphate aminotransferase
,STM2757,putative cytoplasmic protein
,STM2758,putative phosphotransferase system IIC component
,STM2759,"putative dipeptide/oligopeptide/nickel ABC-type transport systems, periplasmic component"
,STM2760,putative integrase
,STM2761,putative inner membrane protein
,STM2762,putative inner membrane protein
,STM2763,putative integrase
,STM2764,putative integrase core domain protein
,STM2765,putative transposase
,STM2766,putative cytoplasmic protein
,STM2767,putative superfamily I DNA and RNA helicase
,STM2768,putative transposase
,STM2769,putative transposase
fljA,STM2770,repressor of fliC
fljB,STM2771,filament structural protein
hin,STM2772,H inversion protein
iroB,STM2773,putative glycosyl transferase
iroC,STM2774,putative ATP binding cassette (ABC) transporter
iroD,STM2775,enterochelin esterase-like protein (Fes)
iroE,STM2776,putative hydrolase of the alpha/beta superfamily
iroN,STM2777,TonB-dependent siderophore receptor protein
,STM2779,putative inner membrane protein
,STM2780,pipB-like protein
virK,STM2781,virK-like protein
mig-14,STM2782,putative transcription activator
nxiA,STM2783,putative nickel transporter
tctE,STM2784,tricarboxylic transport regulatory protein
tctD,STM2785,tricarboxylic transport regulatory protein
,STM2786,tricarboxylic transport protein
,STM2787,tricarboxylic transport protein
,STM2788,tricarboxylic transport protein
,STM2789,putative cytoplasmic protein
ygaF,STM2790,putative sarcosine oxidase-like protein
gabD,STM2791,NADP-dependent succinate-semialdehyde dehydrogenase I
gabT,STM2792,4-aminobutyrate aminotransferase
gabP,STM2793,RpoS dependent gamma-aminobutyrate transport protein
ygaE,STM2794,putative GntR family transcriptional repressor
ygaU,STM2795,putative LysM domain protein
yqaE,STM2796,putative YqaE family transport protein
,STM2797,putative arsR family regulatory protein
ygaP,STM2798,putative rhodanese-related sulfurtransferase
stpA,STM2799,DNA-binding protein with chaperone activity
,STM2800,putative inner membrane protein
ygaC,STM2801,putative cytoplasmic protein
ygaM,STM2802,putative inner membrane protein
,STM2803,putative gntR family regulatory protein
,STM2804,putative cytoplasmic protein
nrdH,STM2805,glutaredoxin-like protein
nrdI,STM2806,stimulates ribonucleotide reduction
nrdE,STM2807,"ribonucleoside diphosphate reductase 2, alpha subunit"
nrdF,STM2808,"ribonucleoside-diphosphate reductase 2, beta subunit"
proV,STM2809,glycine/betaine/proline transport protein
proW,STM2810,glycine/betaine/proline transport protein
proX,STM2811,glycine/betaine/proline transport protein
,STM2812,putative inner membrane protein
emrR,STM2813,transcriptional repressor of emrAB operon
emrA,STM2814,multidrug resistance secretion protein
emrB,STM2815,putative MFS superfamily multidrug transport protein
,STM2816,putative glycoporin
luxS,STM2817,quorum sensing protein
gshA,STM2818,gamma-glutamate-cysteine ligase
yqaA,STM2819,putative inner membrane protein
yqaB,STM2820,putative phosphoglucomutase
csrA,STM2826,carbon storage regulator
alaS,STM2827,alanyl-tRNA synthetase
oraA,STM2828,regulator
recA,STM2829,DNA strand exchange and recombination protein
ygaD,STM2830,putative cytoplasmic protein
mltB,STM2831,membrane-bound lytic murein transglycosylase B
srlA,STM2832,PTS family glucitol/sorbitol-specific enzyme IIC component
srlE,STM2833,"PTS family, glucitol/sorbitol-specific IIB component"
slrB,STM2834,PTS family glucitol/sorbitol-specific protein
srlD,STM2835,glucitol (sorbitol)-6-phosphate dehydrogenase
gutM,STM2836,putative glucitol (srl) operon regulatory protein
srlR,STM2837,transcriptional repressor for glucitol operon
gutQ,STM2838,putative polysialic acid capsule expression protein
ygaA,STM2839,putative EBP family regulator
,STM2840,putative flavoprotein
ygbD,STM2841,putative oxidoreductase
hypF,STM2842,hydrogenase maturation protein
hydN,STM2843,electron transport protein (FeS center) from formate to hydrogen
,STM2844,putative periplasmic or exported protein
hycI,STM2845,protease involved in processing C-terminal end of HycE
hycH,STM2846,protein for processing of HycE
hycG,STM2847,hydrogenase activity
hycF,STM2848,hydrogenase 3
hycE,STM2849,"hydrogenase 3, large subunit"
hycD,STM2850,"hydrogenase 3, membrane subunit"
hycC,STM2851,"hydrogenase 3, membrane subunit"
hycB,STM2852,"hydrogenase-3, iron-sulfur subunit"
hycA,STM2853,transcriptional repressor of hyc and hyp operons
hypA,STM2854,guanine-nucleotide binding protein in formate-hydrogenlyase system
hypB,STM2855,hydrogenase-3 accessory protein
hypC,STM2856,putative hydrogenase expression/formation protein
hypD,STM2857,putative hydrogenase expression/formation protein
hypE,STM2858,putative hydrogenase expression/formation protein
fhlA,STM2859,"formate hydrogen-lyase transcriptional activator for fdhF, hyc and hyp operons"
ygbA,STM2860,putative cytoplasmic protein
sitA,STM2861,fur regulated Salmonella iron transporter
sitB,STM2862,fur regulated Salmonella iron transporter
sitC,STM2863,fur regulated Salmonella iron transporter
sitD,STM2864,fur regulated Salmonella iron transporter
avrA,STM2865,putative inner membrane protein
sprB,STM2866,transcriptional regulator
hilC,STM2867,araC family bacterial regulatory helix-turn-helix protein
,STM2868,putative cytoplasmic protein
orgA,STM2869,putative flagellar biosynthesis/type III secretory pathway protein
